label,text
3,What 2th-century American poet wrote a four-volume biography of Abraham Lincoln ?
3,What culture developed the idea of potlatch ?
3,What university fired Angela Davis ?
3,What is the best art and design school in the world ?
4,What Nevada center has been dubbed The Biggest Little City in the World ?
4,What city in Florida is Sea World in ?
4,What state did Helen Keller call home ?
4,Where was the largest concentration camp in World War II ?
0,What happens to the female body with lack of sleep and food ?
0,How do storms form ?
0,How did the jack-o '-lantern get it 's name ?
0,What is the difference between a classical and an acoustic guitar ?
5,How many different vegetation zones are there ?
5,When were fish first believed to be found on earth ?
5,How long ago was the Roe vs. Wade decision by the Supreme Court ?
5,How many bends are there in a standard paper clip ?
1,What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?
1,What was the first Gilbert and Sullivan opera ?
1,What kind of dog is Scooby Doo ?
1,What animal dined on bread and oysters with a carpenter ?
2,What is LMDS ?
2,What do the letters ZIP stand for in the phrase `` ZIP code '' ?
2,What does the `` blue ribbon '' stand for ?
2,What does the E stand for in the equation E=mc2 ?
